"code.pop";"code_terrain";"species";"status";"ls.short.style";"ls.long.style";"ls.number";"lf.number";"hy.short.style";"hy.long.style";"hy.number";"com.comptage"
"1";"li1";"G1";"Linum suffruticosum";"pure";34;29;63;NA;NA;NA;NA;""
"2";"li10";"G9";"Linum suffruticosum";"pure";33;26;59;NA;NA;NA;NA;""
"3";"li100";"Li_17_18";"Linum suffruticosum";"pure";42;56;98;NA;NA;NA;NA;""
"4";"li101";"Li_17_19";"Linum tenuifolium";"pure";NA;NA;NA;54;NA;NA;NA;""
"5";"li102";"Li_17_20";"Linum tenuifolium";"pure";NA;NA;NA;37;NA;NA;NA;""
"6";"li103";"Li_17_21";"Linum suffruticosum";"mixte";30;38;68;NA;NA;NA;NA;""
"7";"li104";"Li_17_22";"Linum suffruticosum";"pure";22;23;45;NA;NA;NA;NA;""
"8";"li105";"Li_17_23";"Linum tenuifolium";"pure";NA;NA;NA;62;NA;NA;NA;""
"9";"li106";"Li_17_24";"Linum suffruticosum";"pure";149;148;297;NA;NA;NA;NA;""
"10";"li107";"Li_17_25";"Linum tenuifolium";"pure";NA;NA;NA;24;NA;NA;NA;""
"11";"li108";"35_1EOV2017";"Linum suffruticosum";"mixed";22;20;42;0;NA;NA;2;""
"12";"li109";"35_2EOV2017";"Linum tenuifolium";"mixed";0;0;0;57;NA;NA;NA;""
"13";"li11";"G10";"Linum suffruticosum";"pure";42;40;82;NA;NA;NA;NA;""
"14";"li110";"36_1EOV2017";"Linum suffruticosum";"mixed";20;25;45;0;NA;NA;0;""
"15";"li111";"36_2EOV2017";"Linum tenuifolium";"mixed";0;0;0;30;NA;NA;0;""
"16";"li112";"3EOV2016";"Mixed";"mixed";10;14;24;11;NA;NA;0;""
"17";"li113";"3EOV’";NA;"mixed";NA;NA;NA;NA;NA;NA;NA;""
"18";"li114";"16EOV2016";"Mixed";"mixed";19;20;39;33;NA;NA;2;""
"19";"li115";"16EOV’";NA;"mixed";NA;NA;NA;NA;NA;NA;NA;""
"20";"li116";"23EOV2016";"Mixed";"mixed";24;23;47;50;NA;NA;20;""
"21";"li117";"23EOV2016’";NA;"mixed";NA;NA;NA;NA;NA;NA;NA;""
"22";"li118";"91JAM2016";"Linum suffruticosum";"mixed";NA;NA;NA;NA;NA;NA;NA;""
"23";"li119";"91JAM2016’";"Linum tenuifolium";"mixed";NA;NA;NA;NA;NA;NA;NA;""
"24";"li12";"G11";"Linum suffruticosum";"pure";58;64;122;NA;NA;NA;NA;""
"25";"li120";"92JAM2016";"Linum tenuifolium";"pure";NA;NA;NA;NA;NA;NA;NA;""
"26";"li121";"93JAM2016";"Linum tenuifolium";"pure";NA;NA;NA;NA;NA;NA;NA;""
