"code.pop";"species";"status";"position";"orientation";"slope";"annual_herbs";"perennial_herbs";"tot_herbs";"small_shrbs";"tall_shrbs";"trees";"bare_soil";"mineral";"nb_ind_med";"nb_ind_class";"area_class";"area_med"
"1";"li1";"Linum suffruticosum";"pure";"slope";"40";"20";3;63;66;15.5;15.5;3;15.5;0.5;"100_500";300;"500_1000";750
"2";"li10";"Linum suffruticosum";"pure";"valley";"120";"0";0.5;38;38.5;15.5;0.5;0;63;15.5;"100_500";300;"1000_5000";3000
"3";"li100";"Linum suffruticosum";"pure";"slope";"210";"30";0.5;63;63.5;38;0.5;100;0.5;0.5;"1000_5000";3000;"5000_10000";7500
"4";"li101";"Linum tenuifolium";"pure";"slope";"200";"30";0.5;63;63.5;15.5;3;100;3;15.5;"100_500";300;"1000_5000";3000
"5";"li102";"Linum tenuifolium";"pure";"slope";"200";"15";0.5;88;88.5;3;3;15.5;0.5;0.5;"50_100";75;"100_500";300
"6";"li103";"Linum suffruticosum";"mixed";"slope";"200";"30";0.5;63;63.5;15.5;15.5;3;0.5;0.5;"100_500";300;"500_1000";750
"7";"li104";"Linum suffruticosum";"pure";"slope";"160";"28";0.5;88;88.5;38;0.5;3;0.5;0.5;"100_500";300;"100_500";300
"8";"li105";"Linum tenuifolium";"pure";"slope";"180";"25";0.5;88;88.5;15.5;3;0.5;0.5;0.5;"100_500";300;"1000_5000";3000
"9";"li106";"Linum suffruticosum";"pure";"valley";"0";"0";3;38;41;0.5;15.5;100;38;15.5;"500_1000";750;"500_1000";750
"10";"li107";"Linum tenuifolium";"pure";"slope";"110";"5";0.5;88;88.5;0.5;0.5;15.5;15.5;3;"10_50";30;"10_100";55
"11";"li108";"Linum suffruticosum";"mixed";"slope";"0";"na";NA;NA;38;15.5;15.5;38;15.5;15.5;"100_500";300;NA;NA
"12";"li109";"Linum tenuifolium";"mixed";"valley";"180";"na";NA;NA;63;3;3;15.5;3;38;"500_1000";750;"100_500";300
"13";"li11";"Linum suffruticosum";"pure";"slope";"300";"7";0.5;38;38.5;15.5;38;15.5;15.5;38;"1000_5000";3000;"5000_10000";7500
"14";"li110";"Linum suffruticosum";"mixed";"slope";"na";"na";NA;NA;38;38;38;15.5;15.5;15.5;"500_1000";750;"500_1000";750
"15";"li111";"Linum tenuifolium";"mixed";"slope";"225";"na";NA;NA;38;38;15.5;3;15.5;15.5;"100_500";300;"100_500";300
"16";"li12";"Linum suffruticosum";"pure";"valley";"200";"3";0.5;88;88.5;15.5;15.5;3;15.5;0.5;"1000_5000";3000;">10000";1000
"17";"li13";"Linum suffruticosum";"pure";"slope";"330";"25";0.5;63;63.5;3;15.5;0;3;15.5;"1000_5000";3000;"500_1000";750
"18";"li14";"Linum suffruticosum";"mixed";"valley";"30";"3";0.5;38;38.5;15.5;15.5;15.5;15.5;15.5;"100_500";300;"1000_5000";3000
"19";"li15";"Linum tenuifolium";"mixed";"slope";"130";"13";0.5;63;63.5;15.5;38;3;3;15.5;"100_500";300;"5000_10000";7500
"20";"li16";"Linum suffruticosum";"mixed";"slope";"270";"5";0.5;88;88.5;15.5;0.5;0;3;0.5;">10000";10000;"5000_10000";7500
"21";"li17";"Linum tenuifolium";"mixed";"slope";"350";"15";0.5;88;88.5;15.5;38;15.5;3;15.5;"100_500";300;"1000_5000";3000
"22";"li18";"Linum suffruticosum";"mixed";"mountain";"90";"2";0.5;63;63.5;3;3;0;15.5;38;"5000_10000";750;"1000_5000";3000
"23";"li19";"Linum tenuifolium";"mixed";"slope";"120";"10";0.5;63;63.5;15.5;15.5;3;3;15.5;"500_1000";750;">10000";1000
"24";"li2";"Linum suffruticosum";"pure";"slope";"110";"15";0.5;38;38.5;63;3;0;0.5;15.5;"100_500";300;"1000_5000";3000
"25";"li20";"Linum tenuifolium";"pure";"slope";"210";"7";0.5;38;38.5;15.5;63;0.5;0.5;38;"1000_5000";3000;">10000";1000
"26";"li21";"Linum suffruticosum";"pure";"mountain";"190";"5";0.5;15.5;16;15.5;0.5;0.5;15.5;63;">10000";10000;">10000";1000
"27";"li22";"Linum suffruticosum";"mixed";"slope";"235";"20";0.5;63;63.5;15.5;38;0.5;15.5;15.5;"5000_10000";750;"1000_5000";3000
"28";"li23";"Linum tenuifolium";"mixed";"slope";"170";"10";0.5;88;88.5;0.5;15.5;0.5;0;0;"50_100";75;"100_500";300
"29";"li24";"Linum suffruticosum";"pure";"slope";"200";"30";0.5;63;63.5;0.5;15.5;3;3;38;"1000_5000";3000;">10000";1000
"30";"li25";"Linum suffruticosum";"pure";"mountain";"10";"1";0.5;88;88.5;15.5;0.5;0.5;3;3;"100_500";300;"1000_5000";3000
"31";"li26";"Linum suffruticosum";"mixed";"slope";"250";"35";0.5;38;38.5;3;3;3;0.5;63;"100_500";300;"100_500";300
"32";"li27";"Linum tenuifolium";"mixed";"slope";"230";"35";0.5;38;38.5;38;15.5;15.5;3;38;"100_500";300;"5000_10000";7500
"33";"li28";"Linum suffruticosum";"pure";"valley";"10";"1";0.5;88;88.5;0.5;0;0;3;15.5;"5000_10000";750;">10000";1000
"34";"li29";"Linum suffruticosum";"mixed";"slope";"190";"10";0.5;88;88.5;3;15.5;3;0.5;3;"1000_5000";3000;"1000_5000";3000
"35";"li3";"Linum suffruticosum";"pure";"slope";"5";"5";0.5;15.5;16;15.5;15.5;3;0.5;38;"100_500";300;">10000";1000
"36";"li30";"Linum tenuifolium";"mixed";"slope";"145";"15";0.5;88;88.5;3;38;15.5;3;3;"10_50";30;"1000_5000";3000
"37";"li31";"Linum suffruticosum";"pure";"mountain";"80";"2";0.5;88;88.5;3;3;15.5;3;3;">10000";10000;">10000";1000
"38";"li32";"Linum tenuifolium";"pure";"slope";"130";"45";0.5;63;63.5;15.5;38;15.5;15.5;38;"100_500";300;"500_1000";750
"39";"li33";"Linum suffruticosum";"mixed";"slope";"190";"15";0.5;88;88.5;3;3;0.5;0.5;15.5;"1000_5000";3000;">10000";1000
"40";"li34";"Linum tenuifolium";"mixed";"slope";"230";"15";0.5;63;63.5;0.5;15.5;3;15.5;38;"100_500";300;"500_1000";750
"41";"li35";"Linum tenuifolium";"pure";"slope";"280";"7";0;88;88;38;15.5;38;0.5;0;"500_1000";750;">10000";1000
"42";"li36";"Linum tenuifolium";"pure";"slope";"180";"5";0.5;63;63.5;15.5;15.5;15.5;15.5;3;"500_1000";750;">10000";1000
