"code.pop";"sp.name";"date";"x";"y";"precision";"source"
"1";"ls_1";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"29/05/15";-0.56142;42.52231;30;"Tela botanica"
"2";"ls_10";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"05/06/13";3.79256;43.79206;30;"Tela botanica"
"3";"ls_100";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"07/07/96";6.22547;43.95689;10;"CBN Alpin"
"4";"ls_1000";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"18/08/06";5.36222;44.73161;10;"CBN Alpin"
"5";"ls_1001";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"23/08/06";5.32266;44.73251;10;"CBN Alpin"
"6";"ls_1002";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"01/08/06";5.32846;44.82647;10;"CBN Alpin"
"7";"ls_1003";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"01/08/06";5.3308;44.83115;10;"CBN Alpin"
"8";"ls_1004";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"23/05/06";5.7194;44.08149;10;"CBN Alpin"
"9";"ls_1005";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"23/05/06";5.70828;44.08758;10;"CBN Alpin"
"10";"ls_1006";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"01/06/06";5.65553;43.8942;10;"CBN Alpin"
"11";"ls_1007";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"01/06/06";5.64365;43.89767;10;"CBN Alpin"
"12";"ls_1008";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"01/06/06";5.65532;43.91072;10;"CBN Alpin"
"13";"ls_1009";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"04/07/06";5.75385;44.12886;10;"CBN Alpin"
"14";"ls_101";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"06/09/91";5.68909;43.84142;10;"CBN Alpin"
