code;code_source;date;nom_saisie;nom_retenu;status;niche;pays;region;ville;lieux dit;utm;utm1;utm10;latitude;longitude;altitude;mode_lecture;precision;precision.m;type_acquisition ;nom_observateur;orga_observateur;nom_bdd;auteur;annee_publication;titre_publication;revue;confidentialite;nom_fournisseur;organisation;Indigenat_population;nb.ind;surface_patch;abondance_rarete;description.hab;corinne;direct_hab;ordre.phyto;association;remarque.hab;comment
ls_1;;29/05/15;Linum suffruticosum L.;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;ES;;Jaca;//;;;;42,52231;-0,56142;1075;GPS;point;30;export_bdd;Philippe THOMAS <tela@...> (http://www.tela-botanica.org/profil:28773);;plant_data_tela;;;;;libre;en ligne;Tela botanica;;;;;;;;;;;
ls_10;;05/06/13;Linum suffruticosum L.;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;FR;34;Mas-de-Londres;Le Gardiol//Bord de route;;;;43,79206;3,79256;188;GPS;point;30;export_bdd;David Delon <david.delon@...> (http://www.tela-botanica.org/profil:17);;plant_data_tela;;;;;libre;en ligne;Tela botanica;;;;;;;;;;;
ls_100;387734;07/07/96;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;40;BEYNES;;;;;43,95689;6,22547;763;GPS;point;10;export bdd;AMAT Robert;Attente de rattachement;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1000;593953;18/08/06;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;26;DIE;;;;;44,73161;5,36222;904;GPS;point;10;export bdd;PACHE Gilles;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1001;593963;23/08/06;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;26;DIE;;;;;44,73251;5,32266;868;GPS;point;10;export bdd;PACHE Gilles;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1002;593990;01/08/06;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;26;MARIGNAC-EN-DIOIS;;;;;44,82647;5,32846;1609;GPS;point;10;export bdd;PACHE Gilles;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1003;593994;01/08/06;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;26;SAINT-JULIEN-EN-QUINT;;;;;44,83115;5,3308;1609;GPS;point;10;export bdd;PACHE Gilles;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1004;594099;23/05/06;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;40;L'HOSPITALET;;;;;44,08149;5,7194;947;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1005;594101;23/05/06;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;40;L'HOSPITALET;;;;;44,08758;5,70828;895;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1006;594134;01/06/06;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;41;REILLANNE;;;;;43,8942;5,65553;670;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
