code.pop;code_terrain;species;status;ls.short style;ls.long style;ls.number;lf.number;hy.short style;hy.long style;hy.number;com.comptage
li1;G1;Linum suffruticosum;pure;34;29;63;;;;;
li10;G9;Linum suffruticosum;pure;33;26;59;;;;;
li100;Li_17_18;Linum suffruticosum;pure;42;56;98;;;;;
li101;Li_17_19;Linum tenuifolium;pure;;;;54;;;;
li102;Li_17_20;Linum tenuifolium;pure;;;;37;;;;
li103;Li_17_21;Linum suffruticosum;mixte;30;38;68;;;;;
li104;Li_17_22;Linum suffruticosum;pure;22;23;45;;;;;
li105;Li_17_23;Linum tenuifolium;pure;;;;62;;;;
li106;Li_17_24;Linum suffruticosum;pure;149;148;297;;;;;
li107;Li_17_25;Linum tenuifolium;pure;;;;24;;;;
li108;35_1EOV2017;Linum suffruticosum;mixed;22;20;42;0;;;2;
li109;35_2EOV2017;Linum tenuifolium;mixed;0;0;0;57;;;;
li11;G10;Linum suffruticosum;pure;42;40;82;;;;;
li110;36_1EOV2017;Linum suffruticosum;mixed;20;25;45;0;;;0;
li111;36_2EOV2017;Linum tenuifolium;mixed;0;0;0;30;;;0;
li112;3EOV2016;Mixed;mixed;10;14;24;11;;;0;
li113;3EOV’;NA;mixed;;;;;;;;
li114;16EOV2016;Mixed;mixed;19;20;39;33;;;2;
li115;16EOV’;NA;mixed;;;;;;;;
li116;23EOV2016;Mixed;mixed;24;23;47;50;;;20;
li117;23EOV2016’;NA;mixed;;;;;;;;
li118;91JAM2016;Linum suffruticosum;mixed;NA;NA;NA;;;;;
li119;91JAM2016’;Linum tenuifolium;mixed;;;;NA;;;;
li12;G11;Linum suffruticosum;pure;58;64;122;;;;;
li120;92JAM2016;Linum tenuifolium;pure;;;;NA;;;;
li121;93JAM2016;Linum tenuifolium;pure;;;;NA;;;;
li122;94JAM2016;Linum tenuifolium;pure;;;;NA;;;;
li123;95JAM2016;Linum suffruticosum;mixed;NA;NA;NA;;;;;
li124;95JAM2016’;Linum tenuifolium;mixed;;;;NA;;;;
li125;96JAM2016;Linum tenuifolium;pure;;;;NA;;;;
li126;97JAM2016;Linum suffruticosum;pure;NA;NA;NA;;;;;
li127;98JAM2016;Linum tenuifolium;pure;;;;NA;;;;
li128;99JAM2016;Linum tenuifolium;pure;;;;NA;;;;
li129;100JAM2016;Linum suffruticosum;pure;NA;NA;NA;;;;;
li13;G12;Linum suffruticosum;pure;50;57;107;;;;;
li130;101JAM2016;Linum tenuifolium;pure;;;;NA;;;;
li131;102JAM2016;Linum tenuifolium;pure;;;;NA;;;;
li132;103JAM2016;Linum tenuifolium;pure;;;;NA;;;;
li133;104JAM2016;Linum suffruticosum;hybrid;NA;NA;NA;;;;;
li134;105JAM2016;Linum tenuifolium;pure;;;;NA;;;;
li135;106JAM2016;Linum suffruticosum;pure;NA;NA;NA;;;;;
li136;G28;Linum suffruticosum;mixed;NA;NA;NA;;;;;
li137;G28';Linum tenuifolium;mixed;;;;NA;;;;
li138;28EOV2016;Linum tenuifolium;mixed;;;;0;;;0;
li139;28EOV2016’;Linum suffruticosum;mixed;27;28;55;;;;;
li14;G13;Linum suffruticosum;mixed;35;27;62;;;;;
li15;G13';Linum tenuifolium;mixed;;;0;147;;;;
li16;G14;Linum suffruticosum;mixed;190;184;374;;;;;
li17;G14';Linum tenuifolium;mixed;;;0;113;;;;
li18;G15;Linum suffruticosum;mixed;266;233;499;1;;1;1;
li19;G15';Linum tenuifolium;mixed;;;;133;;;;
li2;G2;Linum suffruticosum;pure;25;25;50;;;;;
li20;G16;Linum tenuifolium;pure;;;0;88;;;;
li21;G17;Linum suffruticosum;pure;50;49;99;;;;;
li22;G18;Linum suffruticosum;mixed;147;147;294;;;;;
li23;G18';Linum tenuifolium;mixed;;;;NA;;;;
li24;G19;Linum suffruticosum;pure;105;115;220;;;;;
li25;G20;Linum suffruticosum;pure;109;100;209;;;;;
li26;G21;Linum suffruticosum;mixed;37;50;87;;;;;
li27;G21';Linum tenuifolium;mixed;;;;63;;;;
li28;G22;Linum suffruticosum;pure;45;30;75;;;;;
li29;G23;Linum suffruticosum;mixed;113;121;234;;;;;
li3;G3;Linum suffruticosum;pure;18;17;35;;;;;
li30;G24;Linum tenuifolium;mixed;8;12;20;18;;;;
li31;G25;Linum suffruticosum;pure;114;100;214;;;;;
li32;G26;Linum tenuifolium;pure;;;;NA;;;;pas de comptage trop dangereux
li33;G27;Linum suffruticosum;mixed;73;70;143;;;;;
li34;G27';Linum tenuifolium;mixed;;;;149;;;;
li35;G29;Linum tenuifolium;pure;;;0;69;;;;
li36;G30;Linum tenuifolium;pure;;;0;94;;;;
