code.pop;species;status;ca;mg;k;cond;p;mo;n;ph;cn;arcilla;arena;limo
li109;Linum tenuifolium;mixed;40,6;3,38;1,59;302;10,3;9,23;7913;7,5;6,76;53;8;39
li108;Linum suffruticosum;mixed;46,5;2,67;1,23;231;8,42;11,6;5910;7,8;11,3;46;9;45
li1;Linum suffruticosum;pure;30,8;0,83;0,6;211;7,04;6,82;2178;8,1;18,2;25;45;30
li10;Linum suffruticosum;pure;19,5;1,43;0,17;135;3,61;1,14;521;8,8;12,6;17;52;31
li100;Linum suffruticosum;pure;47,4;2;0,51;282;12,6;13;8040;7,8;9,35;17;46;37
li103;Linum suffruticosum;mixed;37,6;0,74;0,27;251;10,9;9,56;4994;7,8;11,1;26;48;26
li104;Linum suffruticosum;pure;48,8;1,37;1,39;270;11,9;8,48;4819;7,9;10,2;37;23;40
li106;Linum suffruticosum;pure;28,2;0,44;0,29;174;6,17;4,22;2350;8,2;10,4;15;67;18
li11;Linum suffruticosum;pure;19,4;0,46;0,21;140;4,22;3,76;1508;8,4;14,5;15;68;17
li12;Linum suffruticosum;pure;26,1;0,95;0,34;183;6,17;6,4;2889;8;12,8;24;34;42
li126;Linum suffruticosum;pure;21,1;0,35;0,21;136;3,23;2,63;1081;8,5;14,1;28;49;23
li129;Linum suffruticosum;pure;16,2;3,36;0,23;166;4,16;5,89;2163;8,2;15,8;16;35;49
li13;Linum suffruticosum;pure;25;0,62;0,29;168;9,96;4,54;2568;8,2;10,2;33;24;43
li133;Linum suffruticosum;mixed;14,8;3,28;0,22;189;10,2;5,15;4022;8;7,43;8;57;35
li135;Linum suffruticosum;pure;24,8;1,73;0,45;158;8,65;9,65;7468;7,4;7,5;17;30;53
li14;Linum suffruticosum;mixed;26;0,91;0,27;133;2,8;1,46;8,99;8,5;9,44;27;46;27
li16;Linum suffruticosum;mixed;14,9;6,37;0,53;230;8,83;6,97;3881;7,9;10,4;18;18;64
li18;Linum suffruticosum;mixed;28,9;2,24;0,8;172;4,91;4,71;2910;8,1;9,39;34;18;48
li2;Linum suffruticosum;pure;30,6;9,22;1,17;180;12;10,1;7739;7,8;7,57;37;16;47
li21;Linum suffruticosum;pure;5,74;2,45;0,058;67,09;3,23;1,34;1735;8,2;4,48;2;89;9
li22;Linum suffruticosum;mixed;19,6;8,56;1,13;150;3,65;5,24;3021;8,2;10;43;11;46
li24;Linum suffruticosum;pure;18,2;7,58;1,08;147;3,46;4,4;2928;8,2;8,72;43;17;40
li25;Linum suffruticosum;pure;47,8;1,18;1,29;219;11,6;9,63;5529;7,9;10,1;41;28;31
li26;Linum suffruticosum;mixed;34,5;0,54;0,52;139;3,82;4,6;3021;8,2;8,83;36;35;29
li28;Linum suffruticosum;pure;23,2;6,8;0,44;164;6,97;10,4;6814;6,8;8,87;43;16;41
li29;Linum suffruticosum;mixed;17,5;6,1;0,39;156;5,82;7,34;4481;7,8;9,5;22;33;45
li3;Linum suffruticosum;pure;9,68;3,09;0,2;107;5,41;2,97;1822;8,1;9,44;7;63;30
li31;Linum suffruticosum;pure;18,4;6,4;0,34;139;5,78;8,42;5677;7,9;8,61;16;63;21
li33;Linum suffruticosum;mixed;37,8;2,62;1,25;189;8,05;9,56;5490;8;9,94;28;33;39
li39;Linum suffruticosum;pure;32,9;1,14;0,7;231;8,58;8,99;3631;7,9;14,4;42;17;41
li4;Linum suffruticosum;pure;32,3;0,86;0,52;163;8,4;5,78;3002;8,1;11,2;35;25;40
li41;Linum suffruticosum;pure;27,7;1,21;0,44;146;9,23;3,27;902;8,3;21;50;13;37
li42;Linum suffruticosum;mixed;29,5;0,92;0,46;219;17,7;9,33;4455;7,8;12,1;31;17;52
li44;Linum suffruticosum;pure;28,5;0,77;0,54;242;14,5;6,08;3252;8;10,8;27;38;35
